rank,first_name,last_name,club,positions,playerType,age,dob,careerGames,gamesPlayed,Avg,Last3_Avg,Last5_Avg,HighScore,LowScore,R1_12_Games,R1_12_Avg,R13_24_Games,R13_24_Avg,PointsPerMinute,Tog%,CbaAvg,KickInPoAvg,KickInAvg,centreClearances,contestedPossessionRate,disposalEfficiency,interceptMarks,intercepts,debutYear,draftYear,draftType,draftPosition,id
,Marcus,Bontempelli,WBD,MID,MIDFIELDER,30,24/11/1995,258,18,130.6,139,147.4,177,63,6,129,12,131.4,1.263,81.5,66.9,0,0,2.4,42,76,0.4,2.2,2014,2013,nationalDraft,4,CD_I297373
,Max,Gawn,MEL,RUC,RUCK,34,30/12/1991,247,23,127.4,141.3,140.2,198,67,12,130.3,11,124.3,1.173,85.4,85.5,0,0,1.6,64.4,66.5,2.8,4.6,2011,2009,nationalDraft,34,CD_I290528
,Tristan,Xerri,NTH,RUC,RUCK,26,15/03/1999,76,20,127,158.3,131.6,187,57,11,130.4,9,122.9,1.167,83.6,85.5,0,0,2.3,78,68.4,0.8,2.2,2020,2017,nationalDraft,72,CD_I1004965
,Brodie,Grundy,SYD,RUC,RUCK,31,15/04/1994,242,22,125.3,134.3,138.6,200,54,11,109.3,10,146.7,1.255,79,80.2,0,0,1.2,61.6,66.8,0.9,2.5,2013,2012,nationalDraft,18,CD_I293957
,Zak,Butters,PTA,MID,MIDFIELDER,25,8/09/2000,139,20,121,148.7,123,191,45,8,118.4,12,122.8,1.155,82.1,77.4,0.1,0.1,2.4,44.5,72.5,0.6,3.5,2019,2018,nationalDraft,12,CD_I1006121
,Hugh,McCluggage,BRL,MID,MIDFIELDER,27,3/03/1998,209,23,119.4,122.7,128.2,159,80,12,121.2,11,117.5,1.155,82,72.9,0,0,2.1,42.8,67.3,0.1,2.6,2017,2016,nationalDraft,3,CD_I1000978
,Matt,Rowell,GCS,MID,MIDFIELDER,24,1/07/2001,110,22,118.5,110,121.4,167,53,11,106.5,11,126.2,1.123,83.4,78.3,0,0,3.4,52.4,72.5,0.3,2.9,2020,2019,nationalDraft,1,CD_I1009208
,Bailey,Smith,GEE,MID,MIDFIELDER,25,7/12/2000,126,20,118,133.7,135.2,156,73,11,120.9,9,114.3,1.121,83.2,69.6,0,0,2.7,35.7,63.9,0.2,2.5,2019,2018,nationalDraft,7,CD_I1006130
,Nick,Daicos,COL,MID,MIDFIELDER,23,3/01/2003,95,23,116.1,107.7,122,177,66,11,111.9,11,124.9,1.097,84.8,72.3,0.2,0.2,2.5,36.7,70.4,0.2,2.2,2022,2021,fatherSon,4,CD_I1023261
,Nasiah,Wanganeen-Milera,STK,DEF,MEDIUM_DEFENDER,22,22/02/2003,86,23,115,111,120.6,162,63,12,106.2,11,124.6,1.1,83.1,26,4,4.1,1.6,29.7,68.8,0.7,4.2,2022,2021,nationalDraft,11,CD_I1015507
,Josh,Dunkley,BRL,MID,MIDFIELDER,29,9/01/1997,194,23,114.8,139,128,173,72,12,108.8,11,121.4,1.101,82.2,76.2,0,0,1.6,44.3,69.1,0.4,2.9,2016,2015,nationalDraft,25,CD_I993834
